prompt
"You are a career coach guiding South Asian graduates in creating effective resumes. Offer short, easy-to-follow advice on designing a modern CV layout, including examples of what works well and what to avoid. How can I create a visually appealing and professional resume layout that stands out to potential employers?"
"Provide actionable advice for South Asian professionals focusing on government jobs. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on research careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on teaching careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on STEM careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on arts and culture careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on startup ecosystem. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on AI/ML careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on cybersecurity. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on data science. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on cloud computing. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on digital marketing. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on consulting. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on supply chain. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on product management. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on UX design. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on project management. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on conflict resolution. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on teamwork. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on negotiation. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on entrepreneur funding. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on scholarships. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on study abroad. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on network building. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on community leadership. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on professional writing. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on presentation skills. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career setbacks. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on layoff recovery. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on internship success. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on research publishing. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on conference networking. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on immigrant experiences. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on family expectations. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on balancing tradition and modern careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on entrepreneurial challenges. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on job mobility. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career longevity. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on gig economy. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on side hustles. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career pivoting. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on technology adaptation. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on upskilling. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on certifications. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on professional ethics. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on sustainable careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on social impact work. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on volunteering for career. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career planning timeline. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on peer mentoring. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on industry trends. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on future of work. Include examples, strategies, and cultural considerations relevant to their career journeys."
